1840,2558,10.09
1850,2659,10.1
1860,7104,10.04
1870,7263,10.33
1880,11657,10.05
1890,23264,10.23
1900,29353,10.32
1910,34670,10.12
1920,38442,10.43
1930,42993,10.87
1940,42365,10.54
1950,51601,10.45
1960,66780,10.22
1970,78827,10.32
1980,77956,10.98
1990,76836,10.34
2000,106221,11.03
2010,147459,11.23
