1860,8218,9.27
1870,12733,9.34
1880,18892,9.32
1890,32033,9.45
1900,47931,9.66
1910,79803,9.75
1920,100176,9.32
1930,134646,9.38
1940,142598,9.42
1950,152798,9.54
1960,190634,9.67
1970,204297,9.85
1980,195351,9.87
1990,188082,9.44
2000,196086,9.65
2010,195976,9.63
